FID	IID	PHENO_CAPE
Y001	NA18486	-0.5675863
Y002	NA18487	-0.1565387
Y002	NA18489	0.8606068
Y003	NA18498	1.611521
Y003	NA18499	0.4702844
Y004	NA18501	0.2579411
Y004	NA18502	-0.1997398
Y005	NA18504	0.9238761
Y005	NA18505	0.8813045
Y009	NA18507	-1.665657
Y009	NA18508	-0.2579411
Y010	NA18510	-1.141022
Y010	NA18511	2.060072
Y013	NA18516	0.36207
Y013	NA18517	0.05672225
Y014	NA18519	1.141022
Y014	NA18520	0.820276
Y016	NA18522	-0.7064991
Y016	NA18523	-0.8813045
Y018	NA18853	-0.08514043
Y023	NA18856	-1.088317
Y012	NA18858	-0.9023862
Y024	NA18861	-0.5843119
Y007	NA18867	0.5843119
Y007	NA18868	0.5510177
Y017	NA18870	-0.3772437
Y017	NA18871	NA
Y019	NA18873	-1.791467
Y019	NA18874	2.195557
Y025	NA18907	0.3925046
Y025	NA18908	1.038469
Y027	NA18909	-0.3469792
Y027	NA18910	1.226599
Y028	NA18912	-1.866726
Y030	NA18916	-0.6529467
Y030	NA18917	-0.4078572
Y033	NA18923	-0.5345989
Y033	NA18924	-0.6182658
Y036	NA18933	-0.1136274
Y036	NA18934	0.9458007
Y040	NA19093	-0.7621556
Y041	NA19095	0.9910724
Y041	NA19096	1.515526
Y105	NA19098	1.472345
Y105	NA19099	-0.6705831
Y042	NA19102	1.665657
Y006	NA19107	0.7812354
Y006	NA19108	0.2142193
Y079	NA19113	-0.1709027
Y079	NA19114	-0.2142193
Y060	NA19116	-0.8402709
Y100	NA19117	0.2287437
Y100	NA19118	1.561728
Y060	NA19119	-0.8006034
Y061	NA19121	1.257207
Y077	NA19129	0.4078572
Y101	NA19130	-1.356943
Y101	NA19131	-0.5183226
Y043	NA19137	-1.32223
Y043	NA19138	0.4233065
Y075	NA19146	-0.04253172
Y075	NA19147	0.302161
Y073	NA19149	0.7433489
Y073	NA19150	-1.39337
Y072	NA19152	0.04253172
Y056	NA19160	NA
Y047	NA19171	-0.9458007
Y047	NA19172	1.168601
Y044	NA19175	-0.02834974
Y039	NA19185	0.01417345
Y111	NA19189	0.07092419
Y111	NA19190	-0.2873597
Y035	NA19197	1.791467
Y035	NA19198	-0.8606068
Y045	NA19200	0.9023862
Y048	NA19204	0.3170288
Y051	NA19207	-1.114283
Y050	NA19209	1.114283
Y110	NA19213	0.9681889
Y058	NA19222	-0.6012023
Y058	NA19223	0.1422068
Y057	NA19225	2.31e-17
Y116	NA19235	-1.063063
Y116	NA19236	-0.5021824
Y120	NA19247	0.1136274
Y120	NA19248	-0.9910724
Y092	NA19256	-0.36207
Y092	NA19257	-0.2726209
Y001	NA18488	-2.060072
Y001	NA18484	0.2433165
Y002	NA18485	-0.7433489
Y003	NA18497	1.725157
Y004	NA18500	-0.3319668
Y005	NA18503	0.09937387
Y006	NA19109	1.866726
Y007	NA18869	1.954314
Y009	NA18506	0.6355108
Y012	NA18859	-1.611521
Y012	NA18860	-0.3925046
Y013	NA18515	-0.820276
Y014	NA18518	2.769642
Y016	NA18521	-2.389703
Y017	NA18872	-0.1279041
Y018	NA18852	0.185302
Y018	NA18854	-0.9681889
Y019	NA18875	1.39337
Y023	NA18855	-1.515526
Y023	NA18857	-2.769642
Y024	NA18862	-0.05672225
Y024	NA18863	-0.7248012
Y027	NA18911	-0.1422068
Y028	NA18913	0.6884303
Y028	NA18914	-1.472345
Y030	NA18930	1.356943
Y033	NA18925	-0.3170288
Y035	NA19199	0.2873597
Y036	NA18935	0.6012023
Y038	NA19178	1.014486
Y038	NA19179	1.289038
Y038	NA19180	0.6705831
Y039	NA19184	-0.6884303
Y039	NA19186	0.08514043
Y040	NA19092	1.32223
Y040	NA19094	-0.01417345
Y041	NA19097	0.2726209
Y042	NA19101	-1.431743
Y042	NA19103	-1.038469
Y043	NA19139	-1.289038
Y045	NA19201	-0.09937387
Y045	NA19202	-1.197098
Y047	NA19173	-0.07092419
Y048	NA19203	-0.9238761
Y048	NA19205	-1.257207
Y050	NA19210	-2.195557
Y050	NA19211	0.3469792
Y051	NA19206	-1.014486
Y051	NA19208	-0.7812354
Y052	NA19181	1.088317
Y052	NA19182	0.5183226
Y052	NA19183	0.8006034
Y056	NA19159	0.6529467
Y056	NA19161	-0.4233065
Y057	NA19226	2.389703
Y057	NA19224	0.1565387
Y058	NA19221	0.5021824
Y060	NA19120	-1.954314
Y061	NA19122	0.3772437
Y061	NA19123	0.1709027
Y071	NA19141	0.5675863
Y071	NA19140	-0.4702844
Y071	NA19142	-0.2433165
Y072	NA19153	0.1997398
Y072	NA19154	0.3319668
Y073	NA19151	0.1279041
Y074	NA19144	NA
Y074	NA19143	-1.561728
Y074	NA19145	0.6182658
Y075	NA19148	-0.2287437
Y077	NA19128	-1.168601
Y077	NA19127	0.8402709
Y079	NA19115	0.4861717
Y092	NA19258	-0.4545149
Y100	NA19174	0.4545149
Y101	NA19132	-0.5510177
Y105	NA19100	0.02834974
Y110	NA19214	1.063063
Y110	NA19215	-0.4861717
Y111	NA19191	1.431743
Y112	NA19192	0.5345989
Y112	NA19193	-0.302161
Y112	NA19194	1.197098
Y116	NA19237	-0.185302
Y117	NA19239	-0.6355108
Y117	NA19238	-1.226599
Y117	NA19240	0.7248012
Y120	NA19249	-1.725157
Y010	NA18509	0.7064991
Y044	NA19176	-0.4388574
