chr	pos	gene_name	ensg_ids
1	11869	"DDX11L1"	"ENSG00000223972.5"
1	14404	"WASH7P"	"ENSG00000227232.5"
1	17369	"MIR6859-1"	"ENSG00000278267.1"
1	29554	"MIR1302-2HG"	"ENSG00000243485.5"
1	30366	"MIR1302-2"	"ENSG00000284332.1"
1	34554	"FAM138A"	"ENSG00000237613.2"
1	52473	"OR4G4P"	"ENSG00000268020.3"
1	57598	"OR4G11P"	"ENSG00000240361.2"
1	65419	"OR4F5"	"ENSG00000186092.6"
1	89295	"AL627309.1"	"ENSG00000238009.6"
1	89551	"AL627309.3"	"ENSG00000239945.1"
1	131025	"CICP27"	"ENSG00000233750.3"
1	135141	"AL627309.6"	"ENSG00000268903.1"
1	137682	"AL627309.7"	"ENSG00000269981.1"
1	139790	"AL627309.2"	"ENSG00000239906.1"
1	141474	"AL627309.5"	"ENSG00000241860.7"
1	157784	"RNU6-1100P"	"ENSG00000222623.1"
1	160446	"AL627309.4"	"ENSG00000241599.1"
1	182696	"FO538757.1"	"ENSG00000279928.2"
1	185217	"WASH9P"	"ENSG00000279457.4"
1	187891	"MIR6859-2"	"ENSG00000273874.1"
1	257864	"AP006222.1"	"ENSG00000228463.10"
1	266855	"AP006222.2"	"ENSG00000286448.1"
1	347982	"RPL23AP24"	"ENSG00000236679.2"
1	358857	"AL732372.1"	"ENSG00000236601.2"
1	365389	"AL732372.2"	"ENSG00000237094.12"
1	439870	"WBP1LP7"	"ENSG00000269732.1"
1	450703	"OR4F29"	"ENSG00000284733.1"
1	487101	"CICP7"	"ENSG00000233653.3"
1	491225	"AL732372.3"	"ENSG00000250575.1"
1	516376	"FO681485.1"	"ENSG00000278757.1"
1	586071	"AL669831.3"	"ENSG00000230021.10"
1	587629	"AC114498.1"	"ENSG00000235146.2"
1	629062	"MTND1P23"	"ENSG00000225972.1"
1	629640	"MTND2P28"	"ENSG00000225630.1"
1	631074	"MTCO1P12"	"ENSG00000237973.1"
1	632325	"AC114498.2"	"ENSG00000278791.1"
1	632757	"MTCO2P12"	"ENSG00000229344.1"
1	633535	"MTATP8P1"	"ENSG00000240409.1"
1	633696	"MTATP6P1"	"ENSG00000248527.1"
1	634376	"MTCO3P12"	"ENSG00000198744.5"
1	674842	"WBP1LP6"	"ENSG00000268663.1"
1	685679	"OR4F16"	"ENSG00000284662.1"
1	722092	"CICP3"	"ENSG00000229376.3"
1	725885	"AL669831.1"	"ENSG00000228327.3"
1	758233	"RNU6-1199P"	"ENSG00000223181.1"
1	760911	"AL669831.2"	"ENSG00000229905.1"
1	778747	"LINC01409"	"ENSG00000237491.10"
1	781937	"AL669831.6"	"ENSG00000285268.1"
1	800879	"AL669831.4"	"ENSG00000230092.7"
1	817371	"FAM87B"	"ENSG00000177757.2"
1	825138	"LINC01128"	"ENSG00000228794.10"
1	826206	"LINC00115"	"ENSG00000225880.5"
1	860226	"AL669831.7"	"ENSG00000288531.1"
1	868071	"FAM41C"	"ENSG00000230368.2"
1	873292	"TUBB8P11"	"ENSG00000234711.1"
1	874529	"AL669831.5"	"ENSG00000283040.1"
1	904834	"AL645608.6"	"ENSG00000272438.1"
1	911435	"AL645608.2"	"ENSG00000230699.2"
1	914171	"AL645608.4"	"ENSG00000241180.1"
1	916865	"LINC02593"	"ENSG00000223764.2"
1	923928	"SAMD11"	"ENSG00000187634.12"
1	944203	"NOC2L"	"ENSG00000188976.11"
1	960584	"KLHL17"	"ENSG00000187961.14"
1	966482	"PLEKHN1"	"ENSG00000187583.11"
1	975204	"PERM1"	"ENSG00000187642.9"
1	995966	"AL645608.7"	"ENSG00000272512.1"
1	998962	"HES4"	"ENSG00000188290.10"
1	1001138	"ISG15"	"ENSG00000187608.10"
1	1008076	"AL645608.3"	"ENSG00000231702.2"
1	1011997	"AL645608.1"	"ENSG00000224969.1"
1	1020120	"AGRN"	"ENSG00000188157.15"
1	1055033	"AL645608.5"	"ENSG00000242590.1"
1	1059708	"AL390719.1"	"ENSG00000217801.10"
1	1062208	"AL645608.8"	"ENSG00000273443.1"
1	1070967	"RNF223"	"ENSG00000237330.3"
1	1081818	"C1orf159"	"ENSG00000131591.17"
1	1097585	"AL390719.3"	"ENSG00000285812.1"
1	1137017	"LINC01342"	"ENSG00000223823.1"
1	1167104	"MIR200B"	"ENSG00000207730.3"
1	1167863	"MIR200A"	"ENSG00000207607.3"
1	1169005	"MIR429"	"ENSG00000198976.1"
1	1169357	"AL390719.2"	"ENSG00000272141.1"
1	1173056	"TTLL10-AS1"	"ENSG00000205231.1"
1	1173880	"TTLL10"	"ENSG00000162571.14"
1	1203508	"TNFRSF18"	"ENSG00000186891.14"
1	1211340	"TNFRSF4"	"ENSG00000186827.11"
1	1216908	"SDF4"	"ENSG00000078808.17"
1	1232237	"B3GALT6"	"ENSG00000176022.7"
1	1242446	"C1QTNF12"	"ENSG00000184163.3"
1	1249777	"AL162741.1"	"ENSG00000260179.1"
1	1253909	"UBE2J2"	"ENSG00000160087.20"
1	1275223	"LINC01786"	"ENSG00000230415.1"
1	1280436	"SCNN1D"	"ENSG00000162572.21"
1	1292390	"ACAP3"	"ENSG00000131584.19"
1	1296110	"MIR6726"	"ENSG00000278073.1"
1	1308597	"PUSL1"	"ENSG00000169972.12"
1	1311585	"INTS11"	"ENSG00000127054.20"
1	1312502	"MIR6727"	"ENSG00000283712.1"
1	1317581	"AL139287.1"	"ENSG00000240731.1"
1	1324756	"CPTP"	"ENSG00000224051.7"
1	1331280	"TAS1R3"	"ENSG00000169962.5"
